 Xe Density=3.64
 Energy(eV), Delta, Beta
  350.972198  0.0018068417  0.000709001673
  353.447205  0.00178276387  0.000700646779
  355.939697  0.00175897777  0.000692390488
  358.449738  0.00173550728  0.000684231578
  360.977509  0.00171234261  0.000676168886
  363.523102  0.00168948644  0.000668201013
  366.086639  0.00166698836  0.000660326798
  368.668243  0.00164479588  0.000652545423
  371.268066  0.0016231261  0.000644855609
  373.8862  0.00160188728  0.000637256424
  376.522797  0.00158090726  0.000629416551
  379.178009  0.00156016229  0.000620986335
  381.851959  0.00153966795  0.000612660369
  384.544739  0.00151893706  0.000604228466
  387.2565  0.0014984851  0.000595912512
  389.987427  0.00147798238  0.000587710936
  392.737579  0.00145765638  0.000579622283
  395.507141  0.0014374865  0.000571644749
  398.296234  0.0014174598  0.000563777168
  401.10498  0.00139766897  0.000556017796
  403.933533  0.00137797149  0.000548365642
  406.782043  0.00135855144  0.000540818553
  409.650635  0.00133922021  0.000533375191
  412.539459  0.00132014486  0.000526034157
  415.448669  0.00130122842  0.000518794055
  418.378357  0.00128251559  0.000511653721
  421.328705  0.00126401579  0.000504611875
  424.299927  0.00124567468  0.000497667177
  427.292023  0.00122759223  0.000490818173
  430.305267  0.00120964285  0.00048406265
  433.339752  0.00119195564  0.000477400259
  436.395599  0.00117444468  0.000470829749
  439.473022  0.00115716655  0.000464349636
  442.572174  0.00114019355  0.000457958813
  445.693146  0.00112352218  0.000451656146
  448.836121  0.00110717735  0.000445382408
  452.001312  0.00109138479  0.000438976218
  455.188782  0.00107581774  0.000432662346
  458.398743  0.00105990772  0.000425096601
  461.631317  0.00104418618  0.0004175535
  464.886719  0.00102806848  0.000410144276
  468.16507  0.00101184822  0.00040286663
  471.466522  0.00099565438  0.000395718089
  474.79126  0.000979312463  0.00038869647
  478.139435  0.000963191269  0.000381799327
  481.511261  0.000946808897  0.00037502445
  484.90683  0.00093069626  0.000368369918
  488.326385  0.000914420001  0.000361833489
  491.769958  0.000898304686  0.000355413271
  495.237915  0.000882181223  0.000349106558
  498.730316  0.000866064511  0.000342911662
  502.247314  0.000850098324  0.000336826779
  505.789093  0.000833972066  0.000330850278
  509.355865  0.000818130327  0.000324979745
  512.947815  0.000802004302  0.000319213403
  516.565063  0.000786133693  0.00031354939
  520.207825  0.000770127459  0.000307985698
  523.876282  0.000754197419  0.000302520697
  527.570679  0.000738300616  0.000297152554
  531.291016  0.000722269586  0.000291879755
  535.037659  0.000706464984  0.000286700437
  538.81073  0.000690197456  0.000281613145
  542.610352  0.000674246461  0.000276616134
  546.436768  0.000657925091  0.000271823781
  550.290222  0.000641767343  0.000267141644
  554.170837  0.000625489047  0.000262575457
  558.078796  0.000609142822  0.000258118904
  562.014282  0.000592885364  0.000253737962
  565.977661  0.000576198043  0.000249431148
  569.968811  0.000559861306  0.000245197531
  573.98822  0.000542714784  0.000241035887
  578.03595  0.000525887357  0.000236944805
  582.112183  0.000508447178  0.000232923296
  586.217163  0.000490925799  0.000228970035
  590.351135  0.000473119027  0.000225083801
  594.514282  0.000454674708  0.000221263384
  598.706726  0.000436415692  0.000217497785
  602.928772  0.00041663149  0.00021371388
  607.180542  0.000397314579  0.000209995866
  611.462341  0.000375980308  0.000206213823
  615.774292  0.000354644464  0.000202473078
  620.116699  0.000331605668  0.000198800088
  624.489746  0.000307280367  0.000195193672
  628.893555  0.0002820339  0.00019165274
  633.328491  0.000253074162  0.000188176055
  637.794678  0.00022486785  0.000184762452
  642.292358  0.000188114413  0.000181410622
  646.821716  0.000152105305  0.000178119619
  651.383057  0.000104249688  0.000174888395
  655.976624  5.20598805E-05  0.000171715787
  660.602478 -2.09032914E-05  0.00016860076
  665.260986 -0.000123613601  0.000165542195
  669.952332 -0.000308760471  0.000162539101
  674.676819 -0.00107867736  0.000159590607
  679.43457 -0.000540279667  0.000991992303
  684.225891 -0.000193933549  0.000967811677
  689.051025 -2.69183874E-05  0.000944219995
  693.910095  8.37461484E-05  0.000921204919
  698.803528  0.000150999767  0.000898749393
  703.731445  0.000209906284  0.000876841543
  708.694092  0.00025038782  0.00085546734
  713.691711  0.000289698539  0.000834614097
  718.724609  0.00031707203  0.000814269355
  723.79303  0.0003435369  0.000794420484
  728.897156  0.000364668551  0.000775056309
  734.037292  0.000383304956  0.000756164256
  739.213684  0.000399544399  0.000737732393
  744.426514  0.000412849418  0.000719749019
  749.676147  0.000425270759  0.000702204066
  754.962769  0.000434678455  0.000685087347
  760.286743  0.000443740602  0.000668387744
  765.648193  0.000450403313  0.000652094604
  771.047485  0.000456459209  0.000636198733
  776.484863  0.000461163552  0.000620800245
  781.960571  0.000464851444  0.000605853566
  787.474854  0.000467962585  0.000591367134
  793.028137  0.000469979219  0.000577463361
  798.620483  0.000471839012  0.000563886773
  804.252258  0.000472523709  0.000550629629
  809.923828  0.000473097723  0.000537683605
  815.635376  0.000472834508  0.000525041949
  821.387085  0.000472214684  0.000512697618
  827.179443  0.000471097504  0.000500642869
  833.012695  0.000469393271  0.000488872058
  838.887024  0.000467491511  0.000477378082
  844.802795  0.000464752695  0.000466154423
  850.760254  0.000461999298  0.000455194793
  856.759766  0.000458311668  0.000444492558
  862.801575  0.000454508554  0.000434041984
  868.885986  0.000449911226  0.000423837017
  875.013245  0.000444804347  0.000413871894
  881.183777  0.000438849529  0.000404141349
  887.397827  0.000430988788  0.000394639996
  893.655701  0.000423220219  0.00038552261
  899.957642  0.000414053444  0.000382490456
  906.304077  0.00040506004  0.000379482255
  912.695251  0.000398495729  0.000378535944
  919.131531  0.0003928066  0.000378298166
  925.61322  0.000388664572  0.000378060533
  932.140503  0.000386260945  0.000377823133
  938.713928  0.000384199724  0.000377585762
  945.333679  0.000383738254  0.00037734909
  952.000061  0.00038321453  0.000377112185
  958.713501  0.000386518863  0.000375793868
  965.474304  0.000390114757  0.000374351512
  972.282715  0.000393512106  0.00036916614
  979.139221  0.000396724208  0.000361708808
  986.044006  0.000398621109  0.000354402349
  992.997437  0.000398052682  0.000347243709
  999.999939  0.000397401629  0.000340229657
